Регион;Код;2017;2018;2019;2020;2021;2022;2023
Приволжский федеральный округ;33;-36606.0;-42049.0;-26312.0;-14332.0;-16830.0;-21333.0;-11359.0
Республика Башкортостан;800;-4972.0;-5197.0;-3953.0;-2889.0;683.0;-2159.0;-2350.0
Республика Марий Эл;880;-1266.0;-1236.0;-484.0;42.0;-282.0;-430.0;-365.0
Республика Мордовия;890;-2424.0;-2805.0;-1758.0;-1122.0;-1085.0;-1647.0;-443.0
Республика Татарстан (Татарстан);920;494.0;526.0;1552.0;2482.0;2506.0;2006.0;2626.0
Удмуртская Республика;940;-2054.0;-2511.0;-2170.0;-722.0;-971.0;-970.0;-702.0
Чувашская Республика - Чувашия;970;-2731.0;-3179.0;-2235.0;-1071.0;-1149.0;-1783.0;-459.0
Пермский край;570;-3309.0;-3580.0;-2565.0;-2665.0;-3460.0;-2806.0;-1418.0
Кировская область;330;-1840.0;-2671.0;-1618.0;-1223.0;-1317.0;-717.0;9.0
Нижегородская область;220;-1422.0;-1279.0;446.0;562.0;-258.0;-426.0;206.0
Оренбургская область;530;-5880.0;-6753.0;-4362.0;-2770.0;-4395.0;-4570.0;-3752.0
Пензенская область;560;-2135.0;-2962.0;-1928.0;-892.0;-1483.0;-1386.0;-824.0
Самарская область;360;-2931.0;-2472.0;-1242.0;-385.0;-201.0;-839.0;-618.0
Саратовская область;630;-4423.0;-5702.0;-3774.0;-2707.0;-3826.0;-3629.0;-2018.0
Саратов;634;1322.0;;;;;;
Балаково;634;-454.0;;;;;;
Ульяновская область;730;-1713.0;-2228.0;-2221.0;-972.0;-1592.0;-1977.0;-1251.0
Уральский федеральный округ;34;-10461.0;-9918.0;-10840.0;-2205.0;-6254.0;-5678.0;2352.0
Курганская область;370;-3600.0;-3881.0;-2381.0;-1138.0;-2826.0;-1909.0;-1264.0
Свердловская область;650;-1763.0;-1853.0;-4493.0;-1462.0;-1291.0;-2305.0;-1260.0
Тюменская область;710;-1281.0;1228.0;-1146.0;2022.0;594.0;-235.0;6395.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-4887.0;-3038.0;-3971.0;-953.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-2361.0;-2127.0;-1848.0;-440.0;-899.0;-1676.0;-601.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;5967.0;6393.0;4673.0;3415.0;3964.0;2865.0;2172.0
Челябинская область;750;-3817.0;-5412.0;-2820.0;-1627.0;-2731.0;-1229.0;-1519.0
Сибирский федеральный округ;35;-29171.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-25291.0;-22787.0;-16312.0;-22807.0;-19571.0;-11936.0
Республика Алтай;840;-176.0;-303.0;153.0;69.0;84.0;-174.0;-150.0
Республика Тыва;930;-534.0;-540.0;-435.0;-219.0;-945.0;-938.0;-1341.0
Республика Хакасия;950;163.0;-548.0;-320.0;17.0;-530.0;-316.0;-83.0
Алтайский край;100;-5262.0;-5124.0;-4042.0;-2119.0;-4241.0;-2428.0;-2152.0
Чита;764;627.0;280.0;;;;;
Красноярский край;400;-2532.0;-2502.0;-2759.0;-707.0;-920.0;-260.0;2689.0
Иркутская область;250;-3298.0;-2945.0;-4621.0;-3906.0;-4592.0;-4438.0;-3760.0
Кемеровская область - Кузбасс;320;-5463.0;-7044.0;-5395.0;-3831.0;-5420.0;-4468.0;-3368.0
Новосибирская область;500;747.0;1799.0;2038.0;838.0;752.0;-388.0;824.0
Омская область;520;-5982.0;-7119.0;-6036.0;-4155.0;-5154.0;-4345.0;-3063.0
Томская область;690;-488.0;-965.0;-1370.0;-2299.0;-1841.0;-1816.0;-1532.0
Томск;694;480.0;45.0;;;;;
Дальневосточный федеральный округ;36;-14201.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-21227.0;-15206.0;-12932.0;-16005.0;-14687.0;-8436.0
Республика Бурятия;810;-1970.0;-2492.0;-711.0;-782.0;-1567.0;-1332.0;-955.0
Забайкальский край;760;-4376.0;-4284.0;-3331.0;-2529.0;-3241.0;-3242.0;-2702.0
Республика Саха (Якутия);980;-3015.0;-2756.0;-2349.0;-1075.0;-1841.0;-1770.0;-778.0
Камчатский край;300;-1405.0;-1564.0;-514.0;-495.0;-473.0;-229.0;311.0
Приморский край;500;-2806.0;-2765.0;-1981.0;-2024.0;-2642.0;-2654.0;-1235.0
Хабаровский край;800;-2321.0;-2509.0;-1812.0;-2989.0;-1434.0;-2022.0;-933.0
Амурская область;100;-1972.0;-2042.0;-1531.0;-1245.0;-1865.0;-1355.0;-1600.0
Магаданская область;440;-870.0;-1146.0;-913.0;-538.0;-516.0;-517.0;3.0
Сахалинская область;640;-358.0;-703.0;-1298.0;-428.0;-1621.0;-942.0;-285.0
Еврейская автономная область;990;-1102.0;-1033.0;-656.0;-455.0;-824.0;-692.0;-490.0
Чукотский автономный округ;770;-352.0;67.0;-110.0;-372.0;19.0;68.0;228.0
Энгельс;634;-57.0;;;;;;
Северск;695;-94.0;-61.0;;;;;
Российская Федерация;643;19766.0;22260.0;7280.0;580.0;7510.0;6134.0;25900.0
Центральный федеральный округ;30;47350.0;42797.0;22119.0;1175.0;8788.0;28690.0;14781.0
Белгородская область;140;-953.0;-404.0;-197.0;476.0;53.0;-1950.0;-1122.0
Брянская область;150;-1007.0;-1303.0;-1565.0;-252.0;-116.0;-614.0;-473.0
Владимирская область;170;-1065.0;-1235.0;-1144.0;-1217.0;-1312.0;-1258.0;-1260.0
Воронежская область;200;456.0;880.0;-587.0;-814.0;668.0;-620.0;-351.0
Ивановская область;240;-526.0;-1028.0;-402.0;-388.0;-164.0;-303.0;-145.0
Калужская область;290;-822.0;-1183.0;-1220.0;765.0;1942.0;377.0;-49.0
Костромская область;340;-261.0;-783.0;100.0;432.0;182.0;-77.0;260.0
Курская область;380;-383.0;-162.0;410.0;390.0;-656.0;-1096.0;370.0
Липецкая область;420;-831.0;-846.0;-479.0;-597.0;-947.0;-1371.0;-1561.0
Московская область;460;21652.0;27706.0;20978.0;5146.0;18035.0;10686.0;8017.0
Орловская область;540;-1104.0;-1094.0;-1096.0;-896.0;-821.0;-1028.0;-609.0
Рязанская область;610;-187.0;219.0;-379.0;76.0;-298.0;-493.0;-148.0
Смоленская область;660;-1334.0;-1541.0;-1353.0;-600.0;-1181.0;-798.0;-155.0
Тамбовская область;680;-20.0;-391.0;-214.0;59.0;-427.0;-256.0;-24.0
Тверская область;280;-1728.0;-1224.0;-1089.0;-122.0;-818.0;-774.0;-637.0
Тульская область;700;-887.0;-1396.0;-593.0;-582.0;-495.0;-1031.0;-80.0
Ярославская область;780;22.0;600.0;-165.0;-1087.0;-1110.0;-588.0;-600.0
Город Москва столица Российской Федерации город федерального значения;450;36328.0;25982.0;11114.0;386.0;-3747.0;29884.0;13348.0
Северо-Западный федеральный округ;31;11539.0;5034.0;7824.0;7825.0;8260.0;2015.0;5787.0
Республика Карелия;860;-153.0;-47.0;248.0;236.0;400.0;328.0;339.0
Республика Коми;870;-3042.0;-2831.0;-3278.0;-1582.0;-1865.0;-1471.0;-593.0
Архангельская область;110;-2496.0;-1400.0;-478.0;-50.0;160.0;-304.0;125.0
Ненецкий автономный округ (Архангельская область);111;-31.0;-31.0;46.0;65.0;65.0;62.0;152.0
Архангельская область (кроме Ненецкого автономного округа);110;-2465.0;-1369.0;-524.0;-115.0;95.0;-366.0;-27.0
Вологодская область;190;-1223.0;-1120.0;-1490.0;-711.0;-1072.0;-827.0;-339.0
Вологда;194;-556.0;-277.0;;;;;
Череповец;194;-445.0;-467.0;;;;;
Калининградская область;270;1694.0;2732.0;3427.0;3545.0;3525.0;596.0;1207.0
Ленинградская область;410;1120.0;2951.0;5805.0;8841.0;7583.0;8554.0;4222.0
Мурманская область;470;-1879.0;-2097.0;-2537.0;-1293.0;-1557.0;-1180.0;279.0
Новгородская область;490;-516.0;-74.0;-79.0;268.0;229.0;-182.0;33.0
Псковская область;580;-633.0;121.0;-236.0;404.0;121.0;-1074.0;-1192.0
Город Санкт-Петербург город федерального значения;400;18667.0;6799.0;6442.0;-1833.0;736.0;-2425.0;1706.0
Южный федеральный округ (с 29.07.2016);40;9347.0;13885.0;6961.0;9762.0;9687.0;-1702.0;12772.0
Республика Адыгея (Адыгея);790;-292.0;15.0;714.0;-104.0;676.0;4.0;169.0
Республика Калмыкия;850;-666.0;-597.0;-58.0;148.0;-20.0;-83.0;631.0
Республика Крым;350;1051.0;1128.0;872.0;654.0;-242.0;-1515.0;948.0
Краснодарский край;300;9437.0;11524.0;5541.0;6632.0;9356.0;2375.0;6266.0
Краснодар;340;4197.0;3402.0;;;;;
Армавир;340;54.0;-250.0;;;;;
Новороссийск;342;823.0;563.0;;;;;
Сочи;342;3785.0;4613.0;;;;;
Астраханская область;120;-1136.0;-999.0;-1009.0;-1135.0;-2194.0;-2111.0;-1578.0
Волгоградская область;180;-2235.0;53.0;-872.0;722.0;540.0;-377.0;-476.0
Ростовская область;600;-141.0;-101.0;-401.0;-1402.0;-3149.0;-3658.0;4545.0
Город федерального значения Севастополь;670;3329.0;2862.0;2174.0;4247.0;4720.0;3663.0;2267.0
Северо-Кавказский федеральный округ;38;-5504.0;-2815.0;1176.0;747.0;-1404.0;-2087.0;1880.0
Республика Дагестан;820;-1490.0;-664.0;-474.0;-238.0;-184.0;14.0;507.0
Республика Ингушетия;260;757.0;1420.0;1222.0;689.0;707.0;627.0;937.0
Кабардино-Балкарская Республика;830;-809.0;-686.0;-666.0;148.0;-436.0;-614.0;-286.0
Карачаево-Черкесская Республика;910;-339.0;-130.0;-171.0;-19.0;-189.0;-304.0;-177.0
Республика Северная Осетия-Алания;900;-1299.0;-1314.0;-1240.0;-997.0;-1352.0;-1516.0;-648.0
Чеченская Республика;960;-649.0;-1174.0;-926.0;-425.0;-1008.0;-1490.0;-1089.0
Ставропольский край;700;-1675.0;-267.0;3431.0;1589.0;1058.0;1196.0;2636.0
Приволжский федеральный округ;33;-17319.0;-13919.0;-3647.0;-3246.0;1559.0;-3376.0;-2005.0
Республика Башкортостан;800;-1396.0;-407.0;1181.0;-725.0;8164.0;2989.0;2884.0
Республика Марий Эл;880;47.0;321.0;668.0;896.0;901.0;508.0;401.0
Республика Мордовия;890;-1217.0;-550.0;-162.0;-334.0;-145.0;-459.0;-123.0
Республика Татарстан (Татарстан);920;-266.0;-800.0;-2095.0;-1556.0;-2666.0;-1341.0;-2674.0
Удмуртская Республика;940;-386.0;-614.0;-400.0;54.0;-299.0;-556.0;-168.0
Чувашская Республика - Чувашия;970;-388.0;22.0;-182.0;-309.0;439.0;-38.0;61.0
Пермский край;570;-1860.0;-1357.0;-1120.0;-1931.0;-1984.0;-1146.0;-53.0
Кировская область;330;849.0;594.0;840.0;1100.0;680.0;895.0;1099.0
Нижегородская область;220;-2431.0;-1784.0;557.0;1405.0;576.0;-182.0;-140.0
Оренбургская область;530;-2533.0;-2288.0;382.0;483.0;-1166.0;-1449.0;-1005.0
Пензенская область;560;-920.0;-997.0;26.0;-104.0;-714.0;-653.0;-179.0
Самарская область;360;-4850.0;-4106.0;-1145.0;-1260.0;-1027.0;-1413.0;-1758.0
Саратовская область;630;-1624.0;-1442.0;-1158.0;-742.0;-1112.0;-183.0;114.0
Саратов;634;19.0;;;;;;
Балаково;634;-367.0;;;;;;
Ульяновская область;730;-344.0;-511.0;-1039.0;-223.0;-88.0;-348.0;-464.0
Уральский федеральный округ;34;-4929.0;-4112.0;-8941.0;525.0;-4672.0;-3834.0;-2784.0
Курганская область;370;-1991.0;-1400.0;-893.0;-344.0;-1028.0;-227.0;-267.0
Свердловская область;650;375.0;1273.0;-3623.0;-591.0;-157.0;-1576.0;-959.0
Тюменская область;710;-764.0;125.0;-1244.0;2563.0;274.0;-747.0;1261.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-4527.0;-2392.0;-3297.0;791.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-1443.0;-1206.0;-1038.0;-457.0;-146.0;-1342.0;-857.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;5206.0;3723.0;3091.0;2229.0;2383.0;1347.0;-81.0
Челябинская область;750;-2549.0;-4110.0;-3181.0;-1103.0;-3761.0;-1284.0;-2819.0
Сибирский федеральный округ;35;-14692.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-10630.0;-13146.0;-10217.0;-9589.0;-8659.0;-3229.0
Республика Алтай;840;-161.0;5.0;3.0;-65.0;-28.0;-209.0;-223.0
Республика Тыва;930;-101.0;-253.0;-57.0;-276.0;150.0;189.0;-39.0
Республика Хакасия;950;754.0;485.0;10.0;290.0;136.0;78.0;210.0
Алтайский край;100;-2046.0;-673.0;38.0;451.0;-759.0;-251.0;245.0
Чита;764;180.0;26.0;;;;;
Красноярский край;400;-802.0;-186.0;-1876.0;-680.0;789.0;1045.0;2537.0
Иркутская область;250;-3567.0;-2445.0;-3005.0;-2039.0;-2210.0;-2562.0;-2125.0
Кемеровская область - Кузбасс;320;-2659.0;-3815.0;-3654.0;-1906.0;-3919.0;-2635.0;-2002.0
Новосибирская область;500;164.0;314.0;687.0;-792.0;-220.0;-1419.0;86.0
Омская область;520;-3280.0;-3579.0;-3199.0;-2163.0;-2322.0;-1487.0;-671.0
Томская область;690;-565.0;-483.0;-2093.0;-3037.0;-1206.0;-1408.0;-1247.0
Томск;694;-278.0;-230.0;;;;;
Дальневосточный федеральный округ;36;-6026.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-7980.0;-5066.0;-5991.0;-5119.0;-4913.0;-1302.0
Республика Бурятия;810;-920.0;-1151.0;-349.0;-662.0;-868.0;-763.0;-465.0
Забайкальский край;760;-1509.0;-1251.0;-474.0;-492.0;-400.0;-525.0;-432.0
Республика Саха (Якутия);980;-893.0;-457.0;-948.0;-1398.0;81.0;148.0;1004.0
Камчатский край;300;-904.0;-824.0;-274.0;59.0;-35.0;-127.0;557.0
Приморский край;500;-1010.0;-964.0;61.0;-686.0;-1099.0;-2065.0;-426.0
Хабаровский край;800;-1223.0;-1160.0;-738.0;-1526.0;-297.0;-572.0;-702.0
Амурская область;100;-981.0;-511.0;-370.0;210.0;-384.0;112.0;-431.0
Магаданская область;440;-582.0;-806.0;-494.0;-379.0;-513.0;-302.0;-220.0
Сахалинская область;640;182.0;-595.0;-1048.0;-211.0;-1188.0;-610.0;47.0
Еврейская автономная область;990;-491.0;-404.0;-408.0;-387.0;-469.0;-323.0;-255.0
Чукотский автономный округ;770;-124.0;143.0;-24.0;-519.0;53.0;114.0;21.0
Энгельс;634;-122.0;;;;;;
Северск;695;-75.0;-61.0;;;;;
Российская Федерация;643;-19766.0;-22260.0;-7279.0;-579.0;-7510.0;-6135.0;
Центральный федеральный округ;30;6968.0;10877.0;15198.0;8823.0;17167.0;8119.0;
Белгородская область;140;593.0;797.0;506.0;211.0;-423.0;-846.0;
Брянская область;150;-582.0;-443.0;281.0;224.0;-624.0;-763.0;
Владимирская область;170;-670.0;-656.0;-116.0;61.0;-449.0;-259.0;
Воронежская область;200;-377.0;-1149.0;682.0;747.0;91.0;731.0;
Ивановская область;240;-333.0;-637.0;-197.0;-283.0;-382.0;-489.0;
Калужская область;290;250.0;538.0;-24.0;313.0;457.0;-62.0;
Костромская область;340;-486.0;-344.0;-636.0;-402.0;-635.0;-357.0;
Курская область;380;-967.0;-1132.0;-285.0;-482.0;-162.0;-210.0;
Липецкая область;420;-484.0;-332.0;-97.0;444.0;348.0;345.0;
Московская область;460;9206.0;11993.0;10994.0;7376.0;10649.0;11003.0;
Орловская область;540;-469.0;-326.0;-153.0;-97.0;-141.0;-42.0;
Рязанская область;610;-292.0;-776.0;357.0;502.0;422.0;225.0;
Смоленская область;660;195.0;73.0;496.0;453.0;325.0;-52.0;
Тамбовская область;680;-1607.0;-1727.0;-1183.0;-506.0;-685.0;-905.0;
Тверская область;280;-523.0;-1165.0;-547.0;-623.0;-240.0;-394.0;
Тульская область;700;-903.0;-992.0;-850.0;59.0;-351.0;-225.0;
Ярославская область;780;165.0;-212.0;552.0;745.0;757.0;419.0;
Город Москва столица Российской Федерации город федерального значения;450;4252.0;7367.0;5418.0;81.0;8210.0;;
Северо-Западный федеральный округ;31;7740.0;11311.0;8576.0;2214.0;4688.0;4464.0;
Республика Карелия;860;-399.0;-401.0;-392.0;-84.0;-7.0;-211.0;
Республика Коми;870;-1045.0;-1048.0;-490.0;-247.0;-797.0;-461.0;
Архангельская область;110;-1312.0;-1471.0;-1100.0;-853.0;-1016.0;-686.0;
Ненецкий автономный округ (Архангельская область);111;-96.0;-93.0;-81.0;-61.0;-6.0;-47.0;
Архангельская область (кроме Ненецкого автономного округа);110;-1216.0;-1378.0;-1019.0;-792.0;-1010.0;-639.0;
Вологодская область;190;-328.0;-495.0;330.0;108.0;228.0;29.0;
Калининградская область;270;123.0;105.0;31.0;233.0;1027.0;1093.0;
Ленинградская область;410;10349.0;15415.0;10099.0;2902.0;5645.0;4932.0;
Мурманская область;470;322.0;166.0;-5.0;-111.0;138.0;-141.0;
Новгородская область;490;-134.0;-538.0;-90.0;25.0;-239.0;-51.0;
Псковская область;580;164.0;-422.0;193.0;241.0;-291.0;-40.0;
Южный федеральный округ (с 29.07.2016);40;-689.0;-308.0;1415.0;3829.0;1084.0;2018.0;
Республика Адыгея (Адыгея);790;411.0;697.0;1324.0;1152.0;1258.0;1438.0;
Республика Калмыкия;850;-553.0;-734.0;-648.0;-412.0;-458.0;-345.0;
Республика Крым;350;-72.0;-251.0;991.0;1509.0;862.0;410.0;
Краснодарский край;300;2496.0;3362.0;2398.0;2317.0;156.0;950.0;
Астраханская область;120;-660.0;-929.0;-630.0;-209.0;441.0;426.0;
Волгоградская область;180;-1937.0;-1668.0;-2156.0;-1361.0;-2344.0;-1213.0;
Ростовская область;600;-352.0;-811.0;204.0;918.0;1284.0;442.0;
Город федерального значения Севастополь;670;-22.0;26.0;-68.0;-85.0;-115.0;-90.0;
Северо-Кавказский федеральный округ;38;-8901.0;-10223.0;-8065.0;-3562.0;-3931.0;-2289.0;
Республика Дагестан;820;-4495.0;-5086.0;-3444.0;-2125.0;-1880.0;-287.0;
Республика Ингушетия;260;-181.0;44.0;36.0;158.0;147.0;167.0;
Кабардино-Балкарская Республика;830;-599.0;-589.0;-282.0;-80.0;-114.0;-97.0;
Карачаево-Черкесская Республика;910;-90.0;-528.0;-379.0;-97.0;-14.0;138.0;
Республика Северная Осетия-Алания;900;-879.0;-987.0;-662.0;-390.0;-403.0;-502.0;
Чеченская Республика;960;-1340.0;-924.0;-551.0;-36.0;-414.0;-1416.0;
Ставропольский край;700;-1317.0;-2153.0;-2783.0;-992.0;-1253.0;-292.0;
Приволжский федеральный округ;33;-8170.0;-13229.0;-13562.0;-5509.0;-10965.0;-7287.0;
Республика Башкортостан;800;-1475.0;-2223.0;-2914.0;-932.0;-3305.0;-2690.0;
Республика Марий Эл;880;-883.0;-1114.0;-798.0;-953.0;-1048.0;-661.0;
Республика Мордовия;890;-756.0;-1531.0;-1113.0;-452.0;-744.0;-367.0;
Республика Татарстан (Татарстан);920;871.0;1699.0;2762.0;3433.0;3916.0;3100.0;
Удмуртская Республика;940;-917.0;-944.0;-1075.0;-368.0;-355.0;-89.0;
Чувашская Республика - Чувашия;970;-1235.0;-2022.0;-960.0;-291.0;-1376.0;-959.0;
Пермский край;570;-311.0;-834.0;-289.0;-29.0;-787.0;-546.0;
Кировская область;330;-1911.0;-2415.0;-2136.0;-1723.0;-1692.0;-1197.0;
Нижегородская область;220;1412.0;988.0;146.0;-516.0;-665.0;119.0;
Оренбургская область;530;-2024.0;-2947.0;-3688.0;-2052.0;-2621.0;-1839.0;
Пензенская область;560;-680.0;-1129.0;-1531.0;-741.0;-318.0;-314.0;
Самарская область;360;2424.0;2566.0;821.0;1346.0;1129.0;1078.0;
Саратовская область;630;-1763.0;-2418.0;-2002.0;-1387.0;-1986.0;-2103.0;
Ульяновская область;730;-922.0;-905.0;-785.0;-844.0;-1113.0;-819.0;
Уральский федеральный округ;34;-4623.0;-4580.0;-727.0;-1690.0;-1699.0;-1773.0;
Курганская область;370;-444.0;-1338.0;-369.0;-228.0;-862.0;-963.0;
Свердловская область;650;-1978.0;-2489.0;-674.0;-724.0;-951.0;-480.0;
Тюменская область;710;-1221.0;-311.0;-475.0;-671.0;-431.0;-557.0;
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-40.0;-739.0;-494.0;-405.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-484.0;-329.0;-378.0;-41.0;-360.0;-339.0;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;-697.0;757.0;397.0;-225.0;457.0;580.0;
Челябинская область;750;-980.0;-442.0;791.0;-67.0;545.0;227.0;
Сибирский федеральный округ;35;-7952.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-8620.0;-4324.0;-2584.0;-7742.0;-4555.0;
Республика Алтай;840;119.0;-171.0;147.0;295.0;230.0;153.0;
Республика Тыва;930;-341.0;-306.0;-223.0;63.0;-795.0;-926.0;
Республика Хакасия;950;-623.0;-699.0;-398.0;-69.0;-508.0;-354.0;
Алтайский край;100;-1991.0;-2949.0;-2711.0;-1989.0;-2406.0;-1156.0;
Красноярский край;400;-1131.0;-1504.0;-482.0;-58.0;-1699.0;-695.0;
Иркутская область;250;878.0;29.0;200.0;-808.0;-939.0;-499.0;
Кемеровская область - Кузбасс;320;-1414.0;-1064.0;-185.0;-468.0;-324.0;-64.0;
Новосибирская область;500;273.0;665.0;407.0;504.0;460.0;631.0;
Омская область;520;-1759.0;-2310.0;-1964.0;-1140.0;-1805.0;-1556.0;
Томская область;690;13.0;-311.0;885.0;1086.0;44.0;-89.0;
Дальневосточный федеральный округ;36;-4139.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-7488.0;-5790.0;-2100.0;-6112.0;-4832.0;
Республика Бурятия;810;-247.0;-519.0;-112.0;563.0;-117.0;98.0;
Забайкальский край;760;-1729.0;-1893.0;-1971.0;-1060.0;-2017.0;-1544.0;
Республика Саха (Якутия);980;-1223.0;-1965.0;-916.0;-159.0;-1546.0;-1406.0;
Камчатский край;300;-324.0;-371.0;-76.0;-64.0;25.0;-127.0;
Приморский край;500;-1130.0;-1056.0;-907.0;-70.0;-458.0;156.0;
Хабаровский край;800;-609.0;-501.0;-715.0;-807.0;-507.0;-539.0;
Амурская область;100;-299.0;-613.0;-595.0;-518.0;-851.0;-896.0;
Магаданская область;440;-142.0;-126.0;-110.0;-27.0;29.0;-28.0;
Сахалинская область;640;134.0;-88.0;-275.0;-91.0;-479.0;-293.0;
Еврейская автономная область;990;-360.0;-332.0;-37.0;134.0;-101.0;-190.0;
Чукотский автономный округ;770;-186.0;-24.0;-76.0;-1.0;-90.0;-63.0;
Российская Федерация;643;;;;;;;13840.0
Центральный федеральный округ;30;;;;;;;14869.0
Белгородская область;140;;;;;;;-16.0
Брянская область;150;;;;;;;-279.0
Владимирская область;170;;;;;;;-7.0
Воронежская область;200;;;;;;;1465.0
Ивановская область;240;;;;;;;-189.0
Калужская область;290;;;;;;;583.0
Костромская область;340;;;;;;;-884.0
Курская область;380;;;;;;;-358.0
Липецкая область;420;;;;;;;717.0
Московская область;460;;;;;;;12352.0
Орловская область;540;;;;;;;48.0
Рязанская область;610;;;;;;;405.0
Смоленская область;660;;;;;;;194.0
Тамбовская область;680;;;;;;;-562.0
Тверская область;280;;;;;;;313.0
Тульская область;700;;;;;;;92.0
Ярославская область;780;;;;;;;995.0
Северо-Западный федеральный округ;31;;;;;;;4740.0
Республика Карелия;860;;;;;;;-78.0
Республика Коми;870;;;;;;;-475.0
Архангельская область;110;;;;;;;-639.0
Ненецкий автономный округ (Архангельская область);111;;;;;;;13.0
Архангельская область (кроме Ненецкого автономного округа);110;;;;;;;-652.0
Вологодская область;190;;;;;;;50.0
Калининградская область;270;;;;;;;517.0
Ленинградская область;410;;;;;;;5263.0
Мурманская область;470;;;;;;;-121.0
Псковская область;580;;;;;;;223.0
Южный федеральный округ (с 29.07.2016);40;;;;;;;8253.0
Республика Адыгея (Адыгея);790;;;;;;;1565.0
Республика Калмыкия;850;;;;;;;1497.0
Республика Крым;350;;;;;;;1495.0
Краснодарский край;300;;;;;;;3402.0
Астраханская область;120;;;;;;;285.0
Волгоградская область;180;;;;;;;-619.0
Ростовская область;600;;;;;;;654.0
Город федерального значения Севастополь;670;;;;;;;-26.0
Северо-Кавказский федеральный округ;38;;;;;;;-3188.0
Республика Дагестан;820;;;;;;;-447.0
Республика Ингушетия;260;;;;;;;62.0
Кабардино-Балкарская Республика;830;;;;;;;9.0
Карачаево-Черкесская Республика;910;;;;;;;5.0
Республика Северная Осетия-Алания;900;;;;;;;-574.0
Чеченская Республика;960;;;;;;;-751.0
Ставропольский край;700;;;;;;;-1492.0
Приволжский федеральный округ;33;;;;;;;-3374.0
Республика Башкортостан;800;;;;;;;-2991.0
Республика Марий Эл;880;;;;;;;-445.0
Республика Мордовия;890;;;;;;;285.0
Республика Татарстан (Татарстан);920;;;;;;;3947.0
Удмуртская Республика;940;;;;;;;89.0
Чувашская Республика - Чувашия;970;;;;;;;-287.0
Пермский край;570;;;;;;;-887.0
Кировская область;330;;;;;;;-1026.0
Нижегородская область;220;;;;;;;418.0
Оренбургская область;530;;;;;;;-1712.0
Пензенская область;560;;;;;;;-331.0
Самарская область;360;;;;;;;1556.0
Саратовская область;630;;;;;;;-1431.0
Ульяновская область;730;;;;;;;-559.0
Уральский федеральный округ;34;;;;;;;1452.0
Курганская область;370;;;;;;;-533.0
Свердловская область;650;;;;;;;336.0
Тюменская область;710;;;;;;;401.0
Ямало-Ненецкий автономный округ (Тюменская область);711;;;;;;;-306.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;;;;;;;955.0
Челябинская область;750;;;;;;;1248.0
Сибирский федеральный округ (с 03.11.2018);41;;;;;;;-4951.0
Республика Алтай;840;;;;;;;75.0
Республика Тыва;930;;;;;;;-1050.0
Республика Хакасия;950;;;;;;;-399.0
Алтайский край;100;;;;;;;-1275.0
Красноярский край;400;;;;;;;-472.0
Иркутская область;250;;;;;;;-411.0
Кемеровская область - Кузбасс;320;;;;;;;-156.0
Новосибирская область;500;;;;;;;376.0
Омская область;520;;;;;;;-1643.0
Томская область;690;;;;;;;4.0
Дальневосточный федеральный округ (с 03.11.2018);42;;;;;;;-3961.0
Республика Бурятия;810;;;;;;;-91.0
Забайкальский край;760;;;;;;;-1553.0
Республика Саха (Якутия);980;;;;;;;-1536.0
Камчатский край;300;;;;;;;-165.0
Приморский край;500;;;;;;;222.0
Хабаровский край;800;;;;;;;192.0
Амурская область;100;;;;;;;-657.0
Магаданская область;440;;;;;;;32.0
Сахалинская область;640;;;;;;;-211.0
Еврейская автономная область;990;;;;;;;-149.0
Чукотский автономный округ;770;;;;;;;-45.0
Российская Федерация;643;0.0;0.0;1.0;1.0;0.0;-1.0;39740.0
Центральный федеральный округ;30;54318.0;53674.0;37317.0;9998.0;25955.0;36809.0;29650.0
Белгородская область;140;-360.0;393.0;309.0;687.0;-370.0;-2796.0;-1138.0
Брянская область;150;-1589.0;-1746.0;-1284.0;-28.0;-740.0;-1377.0;-752.0
Владимирская область;170;-1735.0;-1891.0;-1260.0;-1156.0;-1761.0;-1517.0;-1267.0
Воронежская область;200;79.0;-269.0;95.0;-67.0;759.0;111.0;1114.0
Ивановская область;240;-859.0;-1665.0;-599.0;-671.0;-546.0;-792.0;-334.0
Калужская область;290;-572.0;-645.0;-1244.0;1078.0;2399.0;315.0;534.0
