Регион;Код;2017;2018;2019;2020;2021;2022;2023
Республика Хакасия;950;-801.0;-988.0;-461.0;-313.0;-639.0;-625.0;
Алтайский край;100;-3438.0;-5110.0;-4931.0;-3623.0;-4130.0;-2295.0;
Красноярский край;400;-2672.0;-3058.0;-1452.0;-1084.0;-3553.0;-2312.0;
Иркутская область;250;-361.0;-901.0;-681.0;-1412.0;-1658.0;-925.0;
Кемеровская область - Кузбасс;320;-2672.0;-1928.0;-896.0;-915.0;-1119.0;-665.0;
Новосибирская область;500;-522.0;-326.0;-762.0;-420.0;-767.0;162.0;
Омская область;520;-2998.0;-3263.0;-2892.0;-1719.0;-2700.0;-2141.0;
Томская область;690;-727.0;-654.0;834.0;949.0;-43.0;-36.0;
Дальневосточный федеральный округ;36;-7482.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-12357.0;-10345.0;-4742.0;-10600.0;-8231.0;
Республика Бурятия;810;-1939.0;-1480.0;-1217.0;-19.0;-629.0;-324.0;
Забайкальский край;760;-2562.0;-2455.0;-2741.0;-1616.0;-2825.0;-2285.0;
Республика Саха (Якутия);980;-2058.0;-2346.0;-1660.0;-20.0;-2591.0;-1783.0;
Камчатский край;300;-438.0;-514.0;-247.0;-166.0;-171.0;-276.0;
Приморский край;500;-1786.0;-2298.0;-1463.0;-480.0;-986.0;-630.0;
Хабаровский край;800;-1404.0;-978.0;-1218.0;-1300.0;-1140.0;-956.0;
Амурская область;100;-665.0;-1373.0;-1178.0;-1010.0;-1375.0;-1293.0;
Магаданская область;440;-136.0;-137.0;-146.0;-27.0;-16.0;-68.0;
Сахалинская область;640;-320.0;-326.0;-315.0;-167.0;-517.0;-354.0;
Еврейская автономная область;990;-435.0;-408.0;-47.0;75.0;-232.0;-203.0;
Чукотский автономный округ;770;-240.0;-42.0;-113.0;-12.0;-118.0;-59.0;
Российская Федерация;643;;;;;;;-15646.0
Центральный федеральный округ;30;;;;;;;14368.0
Белгородская область;140;;;;;;;-373.0
Брянская область;150;;;;;;;-733.0
Владимирская область;170;;;;;;;-370.0
