Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Кызыл;934;-191.0;-1297.0;-270.0;-232.0;-387.0;-1081.0;1072.0;1360.0;609.0
Абакан;954;1820.0;2069.0;2256.0;1909.0;543.0;919.0;389.0;441.0;561.0
Барнаул;140;-2752.0;-4094.0;-2760.0;64.0;518.0;1398.0;-889.0;-860.0;-632.0
Бийск;140;-475.0;-139.0;-141.0;-143.0;142.0;762.0;491.0;415.0;397.0
Рубцовск;141;567.0;-253.0;-347.0;-674.0;-112.0;-551.0;-497.0;-280.0;-368.0
Чита;764;1832.0;1911.0;807.0;306.0;1282.0;-668.0;222.0;-132.0;-48.0
Красноярск;440;6629.0;5848.0;945.0;821.0;-3132.0;-881.0;5435.0;5015.0;6141.0
Ачинск;440;-721.0;-293.0;241.0;193.0;804.0;94.0;325.0;-67.0;127.0
Норильск;442;-1364.0;-1760.0;-489.0;-323.0;-965.0;-1075.0;-715.0;-1090.0;764.0
Иркутск;254;-344.0;-2509.0;-2483.0;-1941.0;-3790.0;-1916.0;-1364.0;-3378.0;-2882.0
Ангарск;254;-219.0;-316.0;-316.0;169.0;73.0;-213.0;-884.0;-521.0;258.0
Братск;254;-2007.0;-1918.0;-1520.0;-945.0;-308.0;143.0;-420.0;-245.0;90.0
Кемерово;324;2801.0;2311.0;2201.0;-199.0;-2796.0;-730.0;-2297.0;-2678.0;-1901.0
Новокузнецк;324;-1691.0;-1424.0;-274.0;-674.0;-1751.0;-857.0;-1419.0;-671.0;-709.0
Прокопьевск;324;-1472.0;-1246.0;-1266.0;-854.0;-377.0;-670.0;-941.0;-745.0;-738.0
Новосибирск;504;5827.0;4206.0;278.0;787.0;3644.0;-453.0;-389.0;-3634.0;-1354.0
Бердск;504;-20.0;205.0;287.0;555.0;311.0;-38.0;440.0;242.0;176.0
Омск;524;-1833.0;-4295.0;-5827.0;-6851.0;-6726.0;-4885.0;-5238.0;-4041.0;-1576.0
Томск;694;2123.0;1367.0;202.0;-185.0;-3758.0;-6113.0;-2712.0;-2853.0;-2646.0
Якутск;984;1407.0;665.0;801.0;2226.0;645.0;-239.0;2795.0;1412.0;2823.0
Петропавловск-Камчатский;304;-1450.0;-1242.0;-1034.0;-825.0;-617.0;-409.0;-314.0;-172.0;294.0
Владивосток;540;-424.0;182.0;200.0;478.0;190.0;-1326.0;709.0;-2018.0;-737.0
Находка;541;-1496.0;-1769.0;-2012.0;-1549.0;-1325.0;-1319.0;-1586.0;-1292.0;-1183.0
Уссурийск;542;223.0;1330.0;1399.0;950.0;1126.0;132.0;-314.0;174.0;560.0
Хабаровск;840;938.0;1985.0;1407.0;808.0;638.0;-2189.0;486.0;-1019.0;-518.0
Комсомольск-на-Амуре;840;-1752.0;-1348.0;-1084.0;-1214.0;-1401.0;-1269.0;-400.0;350.0;166.0
