Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;Женщины;Сельская местность;3399.0;3000.0;2694.0;2576.0;2576.0;2576.0;2576.0
Ямало-Ненецкий автономный округ (Тюменская область);711;Женщины;Сельская местность;1652.0;1736.0;1596.0;1626.0;1592.0;1276.0;1215.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;Женщины;Сельская местность;7461.0;9574.0;8959.0;7510.0;8101.0;8028.0;8056.0
Челябинская область;750;Женщины;Сельская местность;11901.0;12072.0;13283.0;11523.0;12822.0;12135.0;12859.0
Сибирский федеральный округ;35;Женщины;Сельская местность;96939.0;96939.0;96939.0;96939.0;96939.0;96939.0;96939.0
Сибирский федеральный округ (с 03.11.2018);41;Женщины;Сельская местность;84881.0;84881.0;80895.0;73762.0;74708.0;74219.0;72182.0
Республика Алтай;840;Женщины;Сельская местность;5164.0;4725.0;4968.0;4492.0;4823.0;4682.0;4334.0
Республика Тыва;930;Женщины;Сельская местность;2833.0;2686.0;2401.0;2284.0;1825.0;2014.0;1653.0
Республика Хакасия;950;Женщины;Сельская местность;3945.0;3584.0;3432.0;3536.0;3683.0;3402.0;3301.0
Алтайский край;100;Женщины;Сельская местность;15910.0;16255.0;15823.0;14039.0;14651.0;14769.0;14120.0
Красноярский край;400;Женщины;Сельская местность;16248.0;16440.0;15981.0;15460.0;15920.0;16359.0;16531.0
Иркутская область;250;Женщины;Сельская местность;9379.0;9348.0;7626.0;6453.0;6182.0;6950.0;7089.0
Кемеровская область - Кузбасс;320;Женщины;Сельская местность;5910.0;6394.0;6021.0;5174.0;5227.0;5082.0;5020.0
Новосибирская область;500;Женщины;Сельская местность;8230.0;9730.0;9591.0;9235.0;9895.0;9714.0;9726.0
Омская область;520;Женщины;Сельская местность;9263.0;9281.0;8553.0;7615.0;7807.0;7407.0;6838.0
Томская область;690;Женщины;Сельская местность;6139.0;6438.0;6499.0;5474.0;4695.0;3840.0;3570.0
Дальневосточный федеральный округ;36;Женщины;Сельская местность;30347.0;30347.0;30347.0;30347.0;30347.0;30347.0;30347.0
Дальневосточный федеральный округ (с 03.11.2018);42;Женщины;Сельская местность;44626.0;44626.0;43595.0;41654.0;42470.0;42092.0;40684.0
Республика Бурятия;810;Женщины;Сельская местность;9582.0;10121.0;10473.0;10283.0;10673.0;10204.0;10181.0
Забайкальский край;760;Женщины;Сельская местность;4336.0;4489.0;4122.0;4054.0;3550.0;3534.0;3285.0
Республика Саха (Якутия);980;Женщины;Сельская местность;6601.0;6310.0;5967.0;6145.0;6625.0;6354.0;6146.0
Камчатский край;300;Женщины;Сельская местность;973.0;1016.0;1268.0;1241.0;1317.0;1184.0;1183.0
Приморский край;500;Женщины;Сельская местность;9421.0;9295.0;9653.0;8870.0;9422.0;9347.0;9029.0
Хабаровский край;800;Женщины;Сельская местность;5092.0;5633.0;4983.0;3881.0;4846.0;4684.0;4932.0
Амурская область;100;Женщины;Сельская местность;5009.0;4600.0;4211.0;4135.0;3580.0;4087.0;3081.0
Магаданская область;440;Женщины;Сельская местность;179.0;176.0;147.0;180.0;177.0;184.0;232.0
Сахалинская область;640;Женщины;Сельская местность;2319.0;2128.0;1705.0;1784.0;1332.0;1432.0;1575.0
Еврейская автономная область;990;Женщины;Сельская местность;578.0;456.0;732.0;719.0;609.0;683.0;594.0
Чукотский автономный округ;770;Женщины;Сельская местность;175.0;402.0;334.0;362.0;339.0;399.0;446.0
Центральный федеральный округ;30;Мужчины;Городская местность;394437.0;418178.0;380609.0;316156.0;311339.0;333660.0;338597.0
Белгородская область;140;Мужчины;Городская местность;11736.0;12986.0;12336.0;10452.0;9600.0;7662.0;9657.0
