Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Архангельская область;110;77.0;77.0;77.0;77.0;77.0;77.0;77.0;78.0;78.0;78.0
Ненецкий автономный округ (Архангельская область);111;72.0;72.0;72.0;73.0;73.0;73.0;74.0;74.0;74.0;75.0
Архангельская область (кроме Ненецкого автономного округа);110;77.0;77.0;77.0;77.0;77.0;77.0;78.0;78.0;78.0;78.0
Вологодская область;190;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;73.0
Калининградская область;270;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;76.0
Ленинградская область;410;65.0;65.0;65.0;64.0;64.0;66.0;67.0;67.0;67.0;68.0
Мурманская область;470;93.0;93.0;93.0;93.0;93.0;93.0;93.0;93.0;93.0;93.0
Новгородская область;490;71.0;71.0;71.0;72.0;72.0;72.0;73.0;73.0;73.0;73.0
Псковская область;580;70.0;70.0;70.0;70.0;71.0;71.0;71.0;71.0;71.0;71.0
Город Санкт-Петербург город федерального значения;400;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Южный федеральный округ (с 2010 года);37;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0
Южный федеральный округ (с 29.07.2016);40;62.0;62.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0
Республика Адыгея (Адыгея);790;50.0;51.0;50.0;50.0;50.0;50.0;50.0;50.0;49.0;49.0
Республика Калмыкия;850;45.0;45.0;46.0;46.0;46.0;46.0;46.0;47.0;47.0;47.0
Республика Крым;350;51.0;51.0;51.0;51.0;51.0;51.0;51.0;50.0;50.0;50.0
Краснодарский край;300;54.0;55.0;55.0;56.0;56.0;56.0;57.0;57.0;57.0;57.0
Астраханская область;120;66.0;66.0;65.0;65.0;65.0;65.0;65.0;64.0;64.0;64.0
Волгоградская область;180;76.0;77.0;77.0;77.0;77.0;77.0;77.0;78.0;78.0;78.0
Ростовская область;600;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0
Город федерального значения Севастополь;670;92.0;92.0;93.0;92.0;92.0;92.0;92.0;92.0;92.0;93.0
Северо-Кавказский федеральный округ;38;50.0;50.0;50.0;50.0;50.0;50.0;51.0;51.0;51.0;51.0
Республика Дагестан;820;45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0
Республика Ингушетия;260;46.0;48.0;49.0;50.0;52.0;53.0;54.0;55.0;55.0;55.0
Кабардино-Балкарская Республика;830;53.0;53.0;53.0;53.0;52.0;52.0;52.0;52.0;52.0;52.0
Карачаево-Черкесская Республика;910;42.0;42.0;42.0;42.0;42.0;42.0;41.0;41.0;41.0;41.0
Республика Северная Осетия-Алания;900;64.0;64.0;64.0;64.0;64.0;64.0;63.0;63.0;63.0;63.0
Чеченская Республика;960;36.0;36.0;36.0;37.0;37.0;38.0;38.0;38.0;38.0;40.0
Ставропольский край;700;59.0;59.0;59.0;59.0;60.0;60.0;60.0;61.0;61.0;61.0
Приволжский федеральный округ;33;71.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
Республика Башкортостан;800;61.0;61.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;63.0
Республика Марий Эл;880;65.0;66.0;66.0;66.0;67.0;68.0;68.0;68.0;69.0;69.0
Республика Мордовия;890;62.0;62.0;62.0;63.0;63.0;63.0;63.0;63.0;64.0;64.0
Республика Татарстан (Татарстан);920;76.0;76.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0
Удмуртская Республика;940;65.0;65.0;65.0;65.0;66.0;66.0;66.0;66.0;66.0;66.0
Чувашская Республика - Чувашия;970;61.0;61.0;62.0;62.0;63.0;63.0;64.0;64.0;64.0;64.0
Пермский край;570;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0
Кировская область;330;75.0;76.0;76.0;76.0;77.0;77.0;78.0;78.0;78.0;79.0
Нижегородская область;220;79.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0
Оренбургская область;530;60.0;60.0;59.0;59.0;59.0;60.0;60.0;60.0;60.0;60.0
Пензенская область;560;68.0;68.0;68.0;68.0;68.0;69.0;69.0;69.0;69.0;69.0
Самарская область;360;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;79.0
Саратовская область;630;76.0;76.0;76.0;76.0;77.0;76.0;76.0;77.0;77.0;77.0
Ульяновская область;730;75.0;75.0;75.0;76.0;76.0;76.0;76.0;77.0;77.0;77.0
Уральский федеральный округ;34;81.0;81.0;81.0;81.0;82.0;82.0;82.0;82.0;82.0;82.0
Курганская область;370;62.0;62.0;62.0;63.0;63.0;63.0;64.0;64.0;64.0;64.0
Свердловская область;650;84.0;85.0;85.0;85.0;85.0;86.0;86.0;86.0;86.0;86.0
Тюменская область;710;80.0;80.0;80.0;80.0;80.0;80.0;81.0;81.0;81.0;81.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;92.0;92.0;92.0;92.0;92.0;92.0;92.0;92.0;92.0;92.0
Ямало-Ненецкий автономный округ (Тюменская область);711;85.0;85.0;85.0;85.0;85.0;85.0;85.0;85.0;85.0;85.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;64.0;64.0;65.0;66.0;66.0;67.0;67.0;68.0;68.0;68.0
Челябинская область;750;82.0;83.0;83.0;83.0;83.0;83.0;83.0;83.0;83.0;82.0
Сибирский федеральный округ;35;73.0;73.0;73.0;73.0;73.0;73.0;73.0;73.0;73.0;73.0
Сибирский федеральный округ (с 03.11.2018);41;75.0;75.0;74.0;74.0;75.0;75.0;75.0;75.0;75.0;75.0
Республика Алтай;840;30.0;30.0;30.0;30.0;30.0;31.0;31.0;31.0;31.0;31.0
Республика Тыва;930;54.0;55.0;54.0;54.0;54.0;55.0;54.0;55.0;55.0;56.0
Республика Хакасия;950;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;69.0;69.0
Алтайский край;100;56.0;56.0;57.0;57.0;57.0;58.0;58.0;58.0;58.0;58.0
Красноярский край;400;78.0;78.0;78.0;78.0;79.0;79.0;79.0;79.0;80.0;80.0
Иркутская область;250;79.0;79.0;79.0;78.0;78.0;78.0;78.0;78.0;78.0;77.0
Кемеровская область - Кузбасс;320;86.0;86.0;86.0;86.0;86.0;86.0;86.0;86.0;86.0;86.0
Новосибирская область;500;79.0;79.0;79.0;79.0;79.0;80.0;80.0;80.0;80.0;80.0
Омская область;520;72.0;73.0;73.0;73.0;73.0;73.0;73.0;74.0;74.0;74.0
Томская область;690;72.0;72.0;72.0;72.0;72.0;72.0;71.0;71.0;71.0;71.0
Дальневосточный федеральный округ;36;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0
Дальневосточный федеральный округ (с 03.11.2018);42;73.0;73.0;73.0;73.0;73.0;73.0;73.0;74.0;74.0;74.0
Республика Бурятия;810;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0
Забайкальский край;760;68.0;68.0;68.0;68.0;68.0;69.0;69.0;69.0;70.0;70.0
Республика Саха (Якутия);980;65.0;66.0;66.0;66.0;66.0;66.0;66.0;67.0;67.0;68.0
Камчатский край;300;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0
Приморский край;500;77.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0
Хабаровский край;800;83.0;83.0;83.0;83.0;83.0;83.0;83.0;84.0;84.0;84.0
Амурская область;100;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0
Магаданская область;440;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0
Сахалинская область;640;81.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0;83.0;83.0
Еврейская автономная область;990;69.0;70.0;70.0;70.0;71.0;71.0;71.0;71.0;71.0;71.0
Чукотский автономный округ;770;67.0;68.0;68.0;68.0;68.0;69.0;68.0;69.0;69.0;69.0
Крымский федеральный округ;39;58.0;58.0;58.0;58.0;58.0;58.0;58.0;58.0;58.0;58.0
