Регион;Код;% привлекательности;Категория;Линейный тренд;Недавний тренд;Вектор тренда
Казань;924;88.9;Магниты;-166.65;-51.51;📉 Сильный спад
Набережные Челны;924;0.0;Доноры;-2.43;9.72;📈 Сильный рост
Ижевск;944;77.8;Магниты;178.71;48.82;📈 Сильный рост
Чебоксары;974;77.8;Магниты;-162.87;33.36;📈 Сильный рост
Пермь;574;66.7;Нестабильные;-3.26;176.41;📈 Сильный рост
Березники;574;0.0;Доноры;370.39;198.26;📈 Сильный рост
Киров;334;100.0;Магниты;144.24;40.15;📈 Сильный рост
Нижний Новгород;224;33.3;Нестабильные;-73.18;-66.21;📉 Сильный спад
Арзамас;224;33.3;Нестабильные;162.75;112.39;📈 Сильный рост
Дзержинск;224;77.8;Магниты;119.72;3.05;📈 Сильный рост
Оренбург;534;22.2;Доноры;-164.25;46.72;📈 Сильный рост
Орск;534;11.1;Доноры;375.8;61.09;📈 Сильный рост
Пенза;564;44.4;Нестабильные;-385.73;208.34;📈 Сильный рост
Самара;364;11.1;Доноры;73.59;-35.87;📉 Сильный спад
Сызрань;364;0.0;Доноры;-213.03;-136.7;📉 Сильный спад
Тольятти;364;0.0;Доноры;60.38;-68.35;📉 Сильный спад
Саратов;634;44.4;Нестабильные;-15.08;-58.38;📉 Сильный спад
Балаково;634;55.6;Нестабильные;413.98;-5.09;📉 Сильный спад
Ульяновск;734;66.7;Нестабильные;-99.72;59.25;📈 Сильный рост
Димитровград;734;0.0;Доноры;363.83;47.76;📈 Сильный рост
Курган;374;0.0;Доноры;65.44;-32.99;📉 Сильный спад
Екатеринбург;654;55.6;Нестабильные;-497.49;-77.06;📉 Сильный спад
Каменск-Уральский;654;44.4;Нестабильные;212.09;28.35;📈 Сильный рост
Нижний Тагил;654;0.0;Доноры;-252.57;205.99;📈 Сильный рост
Первоуральск;654;0.0;Доноры;62.72;281.68;📈 Сильный рост
Тюмень;714;100.0;Магниты;-278.23;-93.73;📉 Сильный спад
Ханты-Мансийск;711;66.7;Нестабильные;155.74;199.0;📈 Сильный рост
Сургут;711;88.9;Магниты;190.22;139.17;📈 Сильный рост
Нижневартовск;711;0.0;Доноры;114.38;20.51;📈 Сильный рост
Салехард;711;55.6;Нестабильные;259.17;52.98;📈 Сильный рост
Новый Уренгой;711;22.2;Доноры;-125.71;25.96;📈 Сильный рост
Ноябрьск;711;22.2;Доноры;483.18;124.09;📈 Сильный рост
Челябинск;754;33.3;Нестабильные;-457.09;-236.94;📉 Сильный спад
Миасс;754;88.9;Магниты;179.02;6.1;📈 Сильный рост
Горно-Алтайск;844;22.2;Доноры;-145.88;-6.51;📉 Сильный спад
Улан-Удэ;814;33.3;Нестабильные;-37.75;53.99;📈 Сильный рост
Кызыл;934;33.3;Нестабильные;167.72;-103.45;📉 Сильный спад
Абакан;954;100.0;Магниты;-131.85;16.42;📈 Сильный рост
Барнаул;140;33.3;Нестабильные;160.93;21.17;📈 Сильный рост
Бийск;140;55.6;Нестабильные;191.11;-1.03;📉 Сильный спад
Рубцовск;141;11.1;Доноры;-254.82;-51.14;📉 Сильный спад
Чита;764;66.7;Нестабильные;-182.4;11.0;📈 Сильный рост
Красноярск;440;77.8;Магниты;-10.59;32.41;📈 Сильный рост
Ачинск;440;66.7;Нестабильные;417.69;58.36;📈 Сильный рост
Норильск;442;11.1;Доноры;187.43;181.16;📈 Сильный рост
Иркутск;254;0.0;Доноры;-414.42;15.15;📈 Сильный рост
Ангарск;254;33.3;Нестабильные;155.11;301.16;📈 Сильный рост
Братск;254;22.2;Доноры;562.19;93.23;📈 Сильный рост
Кемерово;324;33.3;Нестабильные;-472.07;90.44;📈 Сильный рост
Новокузнецк;324;0.0;Доноры;82.06;-6.38;📉 Сильный спад
Прокопьевск;324;0.0;Доноры;275.53;-18.8;📉 Сильный спад
Новосибирск;504;55.6;Нестабильные;-213.74;93.07;📈 Сильный рост
Бердск;504;77.8;Магниты;122.24;-24.18;📉 Сильный спад
Омск;524;0.0;Доноры;-26.72;181.37;📈 Сильный рост
Томск;694;33.3;Нестабильные;-397.35;-12.46;📉 Сильный спад
Якутск;984;88.9;Магниты;90.25;106.32;📈 Сильный рост
Петропавловск-Камчатский;304;11.1;Доноры;363.9;94.97;📈 Сильный рост
Владивосток;540;55.6;Нестабильные;-31.76;90.81;📈 Сильный рост
