Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Северодвинск;114;-406.58;-243.2;-151.89;-115.21;21.33;-50.5;19.56;60.27;102.51
Нарьян-Мар;111;183.98;-214.96;-50.83;-28.15;42.25;190.48;81.58;48.32;389.11
Вологда;194;17.58;-127.25;-161.1;-108.01;-424.19;-254.91;-242.28;-321.63;111.46
Череповец;194;-70.46;-63.66;-96.17;-121.24;-245.53;-264.81;-156.85;-360.76;-281.45
Калининград;274;232.4;238.21;270.78;279.28;272.99;301.46;275.37;55.7;124.57
Мурманск;474;-594.65;-386.14;-282.87;-231.7;-521.66;-320.54;-259.25;-109.08;43.62
Великий Новгород;494;-70.44;16.63;57.68;197.3;123.78;110.3;148.02;18.46;3.39
Псков;584;-8.25;75.81;30.53;86.12;72.14;89.11;97.09;-323.56;-326.25
Великие Луки;584;-606.97;-386.27;-344.78;-85.28;-85.28;-85.28;-85.28;-85.28;-85.28
Город Санкт-Петербург город федерального значения;400;249.32;208.1;204.64;98.37;100.17;6.25;45.43;10.72;62.88
Майкоп;794;-40.51;-291.84;-473.54;-578.36;-591.88;-773.9;-241.78;-618.98;-644.08
Элиста;854;-195.04;-133.77;-228.38;-204.87;19.8;61.02;24.57;-74.11;128.64
Симферополь;354;129.88;343.75;121.98;-10.71;33.56;-369.64;-240.43;-201.61;64.21
Евпатория;354;-166.38;78.28;136.54;286.68;261.15;339.18;230.49;13.24;186.52
Керчь;354;285.32;316.48;417.52;387.71;296.87;366.22;149.8;-40.85;214.35
Краснодар;340;455.31;461.34;325.67;296.05;206.4;254.89;443.65;297.22;325.31
Армавир;340;-308.05;-125.22;-19.36;-135.3;-316.9;-100.0;80.09;-576.01;334.41
Новороссийск;342;364.3;288.88;269.44;213.96;-6.71;296.82;316.52;102.13;238.67
Сочи;342;357.99;310.88;419.46;443.66;114.23;135.12;80.22;-71.32;-325.75
Астрахань;124;-275.91;-245.36;-112.37;-104.04;-115.81;-246.4;-484.17;-610.94;-471.24
Волгоград;184;-49.68;4.13;-131.28;94.89;-97.36;57.42;215.46;317.34;-173.66
Камышин;184;-380.1;-138.96;-58.28;16.21;100.42;-62.04;-244.91;-377.64;183.37
Ростов-на-Дону;604;41.58;119.69;127.76;139.55;103.02;64.15;64.54;18.05;274.29
Волгодонск;604;-72.13;99.56;-9.51;70.68;-55.81;-98.64;-140.49;-311.03;-292.47
Новочеркасск;604;-527.44;-251.86;-32.07;-1.12;121.25;-56.07;-267.9;-317.96;173.88
Таганрог;604;-234.61;16.62;75.71;10.35;73.34;76.17;-136.84;-174.78;280.91
Шахты;604;49.63;-183.74;-231.47;-350.54;-346.46;-151.52;-328.24;-627.14;-44.97
Город федерального значения Севастополь;670;589.14;446.98;360.76;298.95;254.86;378.29;364.59;337.31;259.06
Махачкала;824;-197.88;-81.76;-263.77;-111.09;-383.3;-618.5;-941.07;-675.92;-992.54
Дербент;824;-100.0;-100.3;-122.68;19.94;16.85;-82.34;3.93;62.91;51.11
Хасавюрт;824;-141.86;0.0;-104.61;-47.98;50.45;-388.84;-23.26;211.57;163.5
Магас;264;477.56;477.56;258.59;192.44;182.21;702.88;774.28;615.89;787.82
Назрань;264;598.32;549.65;489.05;410.97;308.21;165.6;-273.3;70.71;389.16
Нальчик;834;-675.45;-433.23;-398.15;-509.0;-423.63;-154.85;-425.48;-399.79;-225.1
Черкесск;914;-620.19;-425.34;-151.23;73.6;70.12;43.17;-183.87;-127.52;-46.19
Владикавказ;904;-491.37;-432.29;-486.36;-634.9;-591.51;-528.03;-934.45;-889.59;-324.11
Грозный;964;-339.69;-154.12;-83.35;-272.54;-221.02;-143.58;-568.24;-677.67;-701.98
Ставрополь;740;106.86;139.44;-117.17;141.71;398.19;313.82;280.66;208.17;418.65
