Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Республика Адыгея (Адыгея);790;6538.0;11603.0;13148.0;14185.0;15700.0;16025.0;16155.0;14429.0
Республика Калмыкия;850;7091.0;10207.0;11613.0;11146.0;11523.0;13237.0;13707.0;12791.0
Республика Крым;350;28380.0;28380.0;28380.0;28380.0;25316.0;25316.0;30192.0;32697.0
Краснодарский край;300;77983.0;139768.0;160591.0;197827.0;187879.0;185381.0;189313.0;170452.0
Астраханская область;120;11000.0;15048.0;19548.0;21968.0;21341.0;20171.0;18911.0;19297.0
Волгоградская область;180;21723.0;29055.0;33493.0;37024.0;39654.0;43170.0;51424.0;53809.0
Ростовская область;600;47538.0;69756.0;87927.0;93500.0;99255.0;99752.0;100134.0;98204.0
Город федерального значения Севастополь;670;16862.0;16862.0;16862.0;16862.0;16889.0;16889.0;17200.0;16471.0
Северо-Кавказский федеральный округ;38;156235.0;156235.0;182497.0;190103.0;190881.0;185240.0;177152.0;167853.0
Республика Дагестан;820;35118.0;34234.0;39010.0;41242.0;43126.0;43241.0;43173.0;43797.0
Республика Ингушетия;260;6106.0;14266.0;11753.0;10803.0;9575.0;9823.0;7390.0;7265.0
Кабардино-Балкарская Республика;830;6582.0;9170.0;11044.0;11177.0;11175.0;10314.0;10763.0;10754.0
Карачаево-Черкесская Республика;910;7245.0;9494.0;11399.0;11026.0;11302.0;10855.0;10384.0;9651.0
Республика Северная Осетия-Алания;900;5869.0;9559.0;11021.0;12425.0;13297.0;12156.0;11817.0;11198.0
Чеченская Республика;960;14788.0;15323.0;17177.0;18063.0;17790.0;20211.0;19340.0;16622.0
Ставропольский край;700;41513.0;64189.0;81093.0;85367.0;84616.0;78640.0;74285.0;68566.0
Приволжский федеральный округ;33;364431.0;606898.0;743055.0;773931.0;794413.0;773956.0;780451.0;752440.0
Республика Башкортостан;800;71456.0;103521.0;129231.0;137895.0;138721.0;139431.0;139153.0;131632.0
Республика Марий Эл;880;9421.0;17409.0;19351.0;19635.0;18121.0;18632.0;18811.0;18781.0
Республика Мордовия;890;9184.0;14950.0;17785.0;17695.0;18694.0;17505.0;17185.0;17639.0
Республика Татарстан (Татарстан);920;55060.0;77983.0;91682.0;92052.0;98587.0;89377.0;89729.0;86797.0
Удмуртская Республика;940;12075.0;25749.0;33829.0;39111.0;42569.0;44140.0;44907.0;43329.0
Чувашская Республика - Чувашия;970;20340.0;30897.0;34596.0;33858.0;35440.0;39874.0;44870.0;41063.0
Пермский край;570;25542.0;57983.0;71161.0;76654.0;76483.0;73478.0;77643.0;78349.0
Коми-Пермяцкий округ, входящий в состав Пермского края;571;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
Кировская область;330;16544.0;33766.0;44233.0;47595.0;49134.0;48458.0;47492.0;48403.0
Нижегородская область;220;29141.0;56789.0;70414.0;71495.0;70083.0;69586.0;70475.0;66437.0
Оренбургская область;530;20945.0;39999.0;51728.0;53244.0;55669.0;52263.0;50963.0;45828.0
Пензенская область;560;15024.0;25196.0;30390.0;34945.0;34388.0;31709.0;30530.0;30176.0
Самарская область;360;35889.0;50800.0;60914.0;61413.0;62984.0;62083.0;62358.0;59596.0
Саратовская область;630;33790.0;52109.0;64145.0;64539.0;67918.0;61435.0;59395.0;57702.0
Ульяновская область;730;10020.0;19747.0;23596.0;23800.0;25622.0;25985.0;26940.0;26708.0
Уральский федеральный округ;34;181343.0;317488.0;392695.0;404643.0;395635.0;375355.0;379624.0;370516.0
Курганская область;370;11253.0;19625.0;30189.0;32310.0;30331.0;28119.0;26190.0;25822.0
Свердловская область;650;54195.0;89064.0;110137.0;116697.0;120141.0;110342.0;109409.0;111715.0
Тюменская область;710;73819.0;137018.0;169075.0;166996.0;155000.0;151170.0;156652.0;148597.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;38741.0;67808.0;80304.0;74043.0;71571.0;71673.0;73951.0;65709.0
Ямало-Ненецкий автономный округ (Тюменская область);711;11398.0;26228.0;34444.0;33099.0;30986.0;29197.0;31419.0;30311.0
