Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Тюмень;714;27809.0;30761.0;31884.0;32085.0;28401.0;25204.0;25690.0;22598.0;19605.0
Ханты-Мансийск;711;5440.0;5945.0;4902.0;5505.0;4634.0;3890.0;4531.0;3834.0;4082.0
Сургут;711;16282.0;17490.0;13783.0;16241.0;13374.0;12469.0;13922.0;13287.0;15731.0
Нижневартовск;711;11146.0;12325.0;10065.0;9658.0;8905.0;7896.0;7882.0;7884.0;7586.0
Салехард;711;2381.0;2408.0;2743.0;2994.0;2792.0;2185.0;2471.0;2166.0;2056.0
Новый Уренгой;711;8598.0;9289.0;8554.0;8608.0;6922.0;4773.0;4741.0;4036.0;3638.0
Ноябрьск;711;4425.0;5106.0;4854.0;4257.0;4505.0;4782.0;4731.0;3990.0;3852.0
Челябинск;754;25658.0;26138.0;26019.0;25185.0;20547.0;18176.0;17179.0;18148.0;15031.0
Миасс;754;2822.0;3018.0;2990.0;3313.0;3395.0;3269.0;3061.0;2822.0;2735.0
Горно-Алтайск;844;3801.0;3733.0;3519.0;3753.0;3756.0;3065.0;3054.0;2736.0;2565.0
Улан-Удэ;814;16672.0;16560.0;16907.0;16518.0;17211.0;13844.0;14957.0;13904.0;13531.0
Кызыл;934;4274.0;4110.0;4968.0;5133.0;4283.0;3370.0;5303.0;6005.0;4950.0
Абакан;954;8710.0;8972.0;9557.0;9598.0;7753.0;7642.0;7670.0;7267.0;7275.0
Барнаул;140;12658.0;10985.0;11767.0;15280.0;15228.0;12156.0;12686.0;11076.0;11189.0
Бийск;140;5318.0;5167.0;5075.0;4900.0;4681.0;4530.0;4358.0;4036.0;3900.0
Рубцовск;141;5082.0;4508.0;4387.0;4343.0;4361.0;3254.0;3278.0;3040.0;2569.0
Чита;764;10445.0;9677.0;9693.0;9907.0;10093.0;7251.0;7909.0;7330.0;6851.0
Красноярск;440;34172.0;35688.0;32536.0;33593.0;27504.0;27258.0;33639.0;33215.0;33485.0
Ачинск;440;1898.0;2490.0;3150.0;3303.0;3913.0;3211.0;3749.0;3262.0;3358.0
Норильск;442;11197.0;11020.0;12040.0;12452.0;10842.0;9714.0;10152.0;9433.0;11644.0
Иркутск;254;15238.0;14364.0;14877.0;15541.0;9730.0;8061.0;8771.0;7471.0;6595.0
Ангарск;254;;;3933.0;4317.0;3590.0;2761.0;2117.0;2442.0;2938.0
Братск;254;3734.0;3809.0;4187.0;4538.0;4273.0;4045.0;3440.0;3575.0;3643.0
Кемерово;324;14178.0;15405.0;15081.0;14247.0;10279.0;10186.0;8288.0;7338.0;6925.0
Новокузнецк;324;10466.0;10893.0;11247.0;11851.0;9827.0;8969.0;9089.0;9175.0;8917.0
Прокопьевск;324;2703.0;2968.0;2811.0;3495.0;3427.0;2987.0;3135.0;2977.0;2743.0
Новосибирск;504;37231.0;34221.0;32740.0;34746.0;32454.0;26876.0;27764.0;24178.0;23658.0
Бердск;504;1691.0;1754.0;1876.0;2331.0;2024.0;1461.0;2012.0;1798.0;1594.0
Омск;524;21632.0;20314.0;19763.0;19773.0;17179.0;14998.0;14512.0;13800.0;14139.0
Томск;694;19685.0;19739.0;20210.0;19639.0;14772.0;9673.0;11488.0;10298.0;9140.0
Якутск;984;11112.0;10613.0;12098.0;13426.0;11521.0;9848.0;14028.0;12773.0;13017.0
Петропавловск-Камчатский;304;4744.0;;;;;4597.0;4886.0;4684.0;5047.0
Владивосток;540;17268.0;17689.0;17999.0;19500.0;17987.0;14788.0;16489.0;13717.0;13089.0
