Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Новгородская область;49000000000;176580.0;175130.0;172559.0;168465.0;164687.0;161800.0;158574.0;155798.0;153927.0;151953.0
Псковская область;58000000000;190698.0;188377.0;185790.0;182648.0;180142.0;178290.0;175408.0;172438.0;170432.0;168722.0
Город Санкт-Петербург город федерального значения;40000000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Южный федеральный округ (с 2010 года);037;5205134.0;;;;;;;;;
Южный федеральный округ (с 29.07.2016);040;6183317.0;6197850.0;6198969.0;6191518.0;6188356.0;6182559.0;6164400.0;6137773.0;6115477.0;6098666.0
Республика Адыгея (Адыгея);79000000000;228716.0;231379.0;234139.0;237001.0;241274.0;245589.0;249511.0;252945.0;255510.0;257354.0
Республика Калмыкия;85000000000;152332.0;151242.0;150034.0;148235.0;146321.0;144687.0;142877.0;140999.0;140853.0;141542.0
Республика Крым;35000000000;937901.0;943864.0;947459.0;949873.0;952372.0;954651.0;955962.0;954852.0;951905.0;950144.0
Краснодарский край;03000000000;2512923.0;2525036.0;2529970.0;2531615.0;2534724.0;2531215.0;2518110.0;2502124.0;2493151.0;2490239.0
Астраханская область;12000000000;344860.0;345645.0;345863.0;344561.0;343018.0;342058.0;341911.0;341808.0;341662.0;341912.0
Волгоградская область;18000000000;603044.0;598116.0;592765.0;586848.0;580455.0;574153.0;566396.0;557666.0;550726.0;544052.0
Ростовская область;60000000000;1371600.0;1368755.0;1363776.0;1356727.0;1351950.0;1350251.0;1348082.0;1345351.0;1339969.0;1331911.0
Город федерального значения Севастополь;67000000000;31937.0;33811.0;34960.0;36656.0;38241.0;39950.0;41546.0;42023.0;41694.0;41508.0
Северо-Кавказский федеральный округ;038;4903458.0;4927364.0;4949473.0;4967100.0;4982403.0;4998635.0;5013054.0;5029993.0;5035806.0;4989241.0
Республика Дагестан;82000000000;1658860.0;1672176.0;1685607.0;1697885.0;1710514.0;1724727.0;1738855.0;1752465.0;1765669.0;1779318.0
Республика Ингушетия;26000000000;246457.0;242687.0;239651.0;237552.0;235661.0;233782.0;231935.0;232725.0;235834.0;238907.0
Кабардино-Балкарская Республика;83000000000;410109.0;414761.0;419076.0;423013.0;426928.0;430437.0;433432.0;435258.0;436419.0;438289.0
Карачаево-Черкесская Республика;91000000000;271967.0;272386.0;273232.0;273987.0;274511.0;275146.0;275270.0;274911.0;274508.0;274328.0
Республика Северная Осетия-Алания;90000000000;255632.0;255434.0;255196.0;254542.0;253793.0;253254.0;252573.0;251385.0;249926.0;249048.0
Чеченская Республика;96000000000;884158.0;893876.0;902098.0;910252.0;918062.0;925336.0;932846.0;942645.0;939504.0;881171.0
Ставропольский край;07000000000;1176273.0;1176041.0;1174611.0;1169867.0;1162932.0;1155953.0;1148141.0;1140602.0;1133943.0;1128178.0
Приволжский федеральный округ;033;8470199.0;8424967.0;8372096.0;8303278.0;8233568.0;8162749.0;8074498.0;7985483.0;7910512.0;7841455.0
Республика Башкортостан;80000000000;1586916.0;1587876.0;1587172.0;1583814.0;1576907.0;1568826.0;1558585.0;1543762.0;1527582.0;1511312.0
Республика Марий Эл;88000000000;237018.0;234185.0;231293.0;227585.0;223872.0;220090.0;215448.0;211314.0;208237.0;205553.0
Республика Мордовия;89000000000;310157.0;306974.0;303957.0;299898.0;295641.0;291948.0;287894.0;283352.0;279435.0;275834.0
Республика Татарстан (Татарстан);92000000000;924675.0;924879.0;923815.0;922604.0;923873.0;926050.0;927946.0;929718.0;932060.0;935045.0
Удмуртская Республика;94000000000;525147.0;522391.0;519047.0;514049.0;508635.0;503670.0;498938.0;495289.0;492420.0;490124.0
Чувашская Республика - Чувашия;97000000000;480528.0;471796.0;463441.0;454942.0;446519.0;439445.0;430882.0;422286.0;416274.0;410628.0
Пермский край;57000000000;637759.0;635128.0;632053.0;628340.0;624391.0;620756.0;616618.0;612233.0;607060.0;601346.0
Кировская область;33000000000;309005.0;302194.0;294534.0;285494.0;276286.0;267509.0;258290.0;250102.0;243709.0;238438.0
Нижегородская область;22000000000;667218.0;663063.0;659233.0;654343.0;648042.0;639551.0;629090.0;619967.0;613542.0;608201.0
Оренбургская область;53000000000;795105.0;792178.0;787627.0;780098.0;771395.0;762604.0;752598.0;743101.0;735545.0;728568.0
Пензенская область;56000000000;429932.0;426528.0;422765.0;417079.0;410316.0;403425.0;397070.0;391579.0;386907.0;382089.0
Самарская область;36000000000;637249.0;640685.0;643583.0;646517.0;648726.0;648423.0;646634.0;644919.0;644236.0;643837.0
Саратовская область;63000000000;612597.0;605497.0;597644.0;588696.0;585166.0;582700.0;573779.0;563414.0;553575.0;545049.0
Ульяновская область;73000000000;316887.0;311585.0;305925.0;299812.0;293791.0;287745.0;280719.0;274436.0;269924.0;265425.0
Уральский федеральный округ;034;2332362.0;2318831.0;2301080.0;2279572.0;2262495.0;2245969.0;2223554.0;2205011.0;2194751.0;2187492.0
Курганская область;37000000000;322110.0;315928.0;310476.0;303187.0;296019.0;289994.0;282448.0;275338.0;270379.0;265696.0
Свердловская область;65000000000;664245.0;655550.0;646532.0;636259.0;627609.0;620013.0;610333.0;602602.0;598197.0;594918.0
Тюменская область;71000000000;735234.0;737355.0;736518.0;736369.0;737024.0;736446.0;734673.0;733164.0;732585.0;733305.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);71100000000;131458.0;132401.0;133682.0;134495.0;134914.0;135432.0;135688.0;135194.0;134698.0;135014.0
Ямало-Ненецкий автономный округ (Тюменская область);71140000000;78832.0;78476.0;78251.0;78171.0;78179.0;78308.0;78350.0;78275.0;77383.0;76789.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);71001000000;524944.0;526477.0;524584.0;523701.0;523930.0;522705.0;520634.0;519695.0;520502.0;521501.0
Челябинская область;75000000000;610771.0;609997.0;607553.0;603756.0;601841.0;599513.0;596098.0;593907.0;593590.0;593573.0
Сибирский федеральный округ;035;5261136.0;5234564.0;5207264.0;4430181.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);041;4440862.0;4411954.0;4382596.0;4346314.0;4309589.0;4272755.0;4222898.0;4175067.0;4140483.0;4105994.0
Республика Алтай;84000000000;146965.0;147098.0;147340.0;146956.0;146347.0;146032.0;145665.0;145628.0;146033.0;146251.0
Республика Тыва;93000000000;143566.0;144657.0;146649.0;148157.0;149348.0;150951.0;151929.0;151353.0;150064.0;148890.0
Республика Хакасия;95000000000;171740.0;171537.0;171175.0;170448.0;169785.0;169351.0;168544.0;167080.0;165245.0;164002.0
Алтайский край;01000000000;1018445.0;1004998.0;990155.0;972189.0;953179.0;933800.0;911840.0;894097.0;883202.0;872251.0
Красноярский край;04000000000;634614.0;628156.0;621563.0;614934.0;608367.0;601856.0;593165.0;584347.0;578352.0;572442.0
Иркутская область;25000000000;511300.0;515006.0;519919.0;524120.0;527592.0;529628.0;529367.0;528046.0;526824.0;526219.0
Кемеровская область - Кузбасс;32000000000;382480.0;378287.0;372834.0;366652.0;361645.0;357255.0;352049.0;347628.0;344378.0;340631.0
Новосибирская область;50000000000;586519.0;583924.0;582010.0;580232.0;578392.0;575231.0;570704.0;567437.0;565289.0;562490.0
Омская область;52000000000;541817.0;535649.0;528690.0;520876.0;512386.0;504178.0;495082.0;486479.0;479572.0;472718.0
Томская область;69000000000;303410.0;302639.0;302254.0;301745.0;302544.0;304468.0;304549.0;302965.0;301519.0;300094.0
Дальневосточный федеральный округ;036;1519640.0;1508663.0;1498580.0;2228154.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);042;2233911.0;2216465.0;2199232.0;2178155.0;2156794.0;2138068.0;2114444.0;2089029.0;2069061.0;2056759.0
Республика Бурятия;81000000000;398638.0;400321.0;400960.0;400180.0;399638.0;399945.0;399894.0;399000.0;398022.0;397848.0
Забайкальский край;76000000000;345825.0;339957.0;334489.0;329187.0;323328.0;317794.0;311516.0;305058.0;299868.0;296042.0
