Регион;Код;2017;2018;2019;2020;2021;2022;2023
Кабардино-Балкарская Республика;830;7123.0;7116.0;6440.0;5907.0;4982.0;4923.0;5253.0
Карачаево-Черкесская Республика;910;3980.0;4654.0;4915.0;4892.0;4976.0;4674.0;4879.0
Республика Северная Осетия-Алания;900;7645.0;7562.0;6715.0;5031.0;3983.0;3974.0;4662.0
Чеченская Республика;960;7127.0;6521.0;6434.0;5688.0;5400.0;4905.0;4367.0
Ставропольский край;700;39736.0;44554.0;51292.0;41170.0;39373.0;36370.0;40166.0
Приволжский федеральный округ;33;466091.0;482964.0;463281.0;400759.0;420393.0;388410.0;382239.0
Республика Башкортостан;800;68444.0;71934.0;71161.0;58949.0;76689.0;69037.0;69410.0
Республика Марий Эл;880;13238.0;13257.0;14466.0;13859.0;13551.0;12505.0;11656.0
Республика Мордовия;890;10547.0;11483.0;11549.0;9467.0;10102.0;9102.0;9475.0
Республика Татарстан (Татарстан);920;58855.0;59582.0;53071.0;49484.0;52277.0;46624.0;46307.0
Удмуртская Республика;940;23337.0;23601.0;19709.0;18910.0;19967.0;19699.0;19117.0
Чувашская Республика - Чувашия;970;23983.0;25990.0;21852.0;19190.0;20270.0;17555.0;17568.0
Пермский край;570;49414.0;51308.0;46179.0;38872.0;39605.0;36934.0;37768.0
Кировская область;330;34863.0;36195.0;35019.0;30254.0;30141.0;30047.0;30278.0
Нижегородская область;220;43747.0;45794.0;47392.0;42514.0;40963.0;37828.0;35515.0
Оренбургская область;530;23033.0;22532.0;26536.0;22380.0;21233.0;18697.0;17882.0
Пензенская область;560;18415.0;18254.0;18152.0;13931.0;11840.0;11702.0;12210.0
Самарская область;360;38229.0;42948.0;42578.0;35750.0;38339.0;34906.0;32945.0
Саратовская область;630;40850.0;40161.0;39064.0;31841.0;29802.0;30413.0;29622.0
Саратов;634;18017.0;;;;;;
Балаково;634;2921.0;;;;;;
Ульяновская область;730;19136.0;19925.0;16553.0;15358.0;15614.0;13361.0;12486.0
Уральский федеральный округ;34;289091.0;293486.0;259207.0;240551.0;238217.0;219202.0;213258.0
Курганская область;370;12464.0;14899.0;13704.0;13659.0;12600.0;12317.0;11826.0
Свердловская область;650;90918.0;92841.0;75171.0;70664.0;69885.0;60207.0;56495.0
Тюменская область;710;124073.0;125554.0;111886.0;102619.0;103629.0;96041.0;99016.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;58851.0;60289.0;53201.0;51247.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;27020.0;27125.0;24045.0;21059.0;21649.0;19020.0;18699.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;38202.0;38140.0;34640.0;30313.0;30981.0;27887.0;24338.0
Челябинская область;750;61636.0;60192.0;58446.0;53609.0;52103.0;50637.0;45921.0
Сибирский федеральный округ;35;379253.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;352107.0;308111.0;270560.0;282107.0;267374.0;262110.0
Республика Алтай;840;3519.0;3753.0;3756.0;3065.0;3054.0;2736.0;2565.0
Республика Тыва;930;7348.0;7687.0;6607.0;5656.0;7211.0;8137.0;6828.0
Республика Хакасия;950;16027.0;15483.0;13162.0;12940.0;13661.0;12803.0;12908.0
Алтайский край;100;31347.0;35847.0;35676.0;29361.0;29990.0;27362.0;26868.0
Чита;764;9693.0;9907.0;;;;;
Красноярский край;400;78575.0;82473.0;72599.0;69963.0;77725.0;75764.0;78236.0
Иркутская область;250;44773.0;47260.0;36617.0;31000.0;29731.0;28819.0;27174.0
Кемеровская область - Кузбасс;320;55206.0;55219.0;48483.0;43050.0;41081.0;39587.0;37931.0
Новосибирская область;500;46708.0;50726.0;45596.0;39390.0;41968.0;37433.0;36919.0
Омская область;520;27624.0;27860.0;25532.0;21983.0;22059.0;20552.0;20429.0
Томская область;690;26573.0;25799.0;20083.0;14152.0;15627.0;14181.0;12252.0
Томск;694;20210.0;19639.0;;;;;
Дальневосточный федеральный округ;36;162988.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;206751.0;197222.0;168906.0;178409.0;171663.0;165776.0
Республика Бурятия;810;22283.0;22326.0;22926.0;19203.0;20394.0;18931.0;18501.0
Забайкальский край;760;19270.0;20285.0;20473.0;16868.0;17199.0;16096.0;15075.0
Республика Саха (Якутия);980;27518.0;27762.0;25095.0;22115.0;27282.0;26151.0;26765.0
Камчатский край;300;6877.0;7459.0;7932.0;7419.0;7516.0;7198.0;7924.0
Приморский край;500;47857.0;50059.0;48023.0;40603.0;41591.0;38711.0;37230.0
Хабаровский край;800;34511.0;32688.0;32227.0;25569.0;30385.0;28416.0;27354.0
Амурская область;100;16879.0;17717.0;16135.0;15142.0;13578.0;15434.0;11813.0
Магаданская область;440;6454.0;6281.0;5926.0;5195.0;5251.0;5067.0;5139.0
Сахалинская область;640;15970.0;15195.0;11573.0;11437.0;9041.0;9258.0;10039.0
Еврейская автономная область;990;2979.0;2460.0;2509.0;2008.0;2271.0;2301.0;2107.0
Чукотский автономный округ;770;3943.0;4519.0;4403.0;3347.0;3901.0;4100.0;3829.0
Энгельс;634;4150.0;;;;;;
Северск;695;2432.0;2592.0;;;;;
