Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Воронежская область;200;Женщины;Сельская местность;-35905.0;-36748.0;-33047.0;-26615.0;-26751.0;-24715.0;-20990.0
Ивановская область;240;Женщины;Сельская местность;-17570.0;-17935.0;-16333.0;-13948.0;-13576.0;-13103.0;-11720.0
Калужская область;290;Женщины;Сельская местность;-15544.0;-15449.0;-12803.0;-11123.0;-14899.0;-16226.0;-14058.0
Костромская область;340;Женщины;Сельская местность;-14363.0;-14861.0;-13841.0;-11585.0;-10809.0;-9288.0;-9373.0
Курская область;380;Женщины;Сельская местность;-19839.0;-22580.0;-19776.0;-15600.0;-15307.0;-14624.0;-13911.0
Липецкая область;420;Женщины;Сельская местность;-19001.0;-20497.0;-18440.0;-14165.0;-14511.0;-13645.0;-10993.0
Московская область;460;Женщины;Сельская местность;-114604.0;-122371.0;-119308.0;-118029.0;-107105.0;-103772.0;-107429.0
Орловская область;540;Женщины;Сельская местность;-11952.0;-12458.0;-10939.0;-8069.0;-7620.0;-7560.0;-6962.0
Рязанская область;610;Женщины;Сельская местность;-20475.0;-21840.0;-18180.0;-15423.0;-15009.0;-15360.0;-14077.0
Смоленская область;660;Женщины;Сельская местность;-16267.0;-16686.0;-15218.0;-12390.0;-13139.0;-13627.0;-12186.0
Тамбовская область;680;Женщины;Сельская местность;-18816.0;-19835.0;-17767.0;-13207.0;-12688.0;-12146.0;-10460.0
Тверская область;280;Женщины;Сельская местность;-22861.0;-23693.0;-22153.0;-18934.0;-18791.0;-17941.0;-16191.0
Тульская область;700;Женщины;Сельская местность;-24009.0;-23892.0;-20710.0;-17037.0;-17569.0;-17578.0;-15080.0
Ярославская область;780;Женщины;Сельская местность;-19500.0;-20084.0;-17970.0;-15156.0;-14504.0;-14333.0;-13019.0
Город Москва столица Российской Федерации город федерального значения;450;Женщины;Сельская местность;-96411.0;-111831.0;-112636.0;-106325.0;-88189.0;-92089.0;-126007.0
Северо-Западный федеральный округ;31;Женщины;Сельская местность;-269845.0;-273094.0;-255924.0;-233956.0;-238032.0;-223684.0;-213301.0
Республика Карелия;860;Женщины;Сельская местность;-12899.0;-13364.0;-11697.0;-9250.0;-10391.0;-9052.0;-7940.0
Республика Коми;870;Женщины;Сельская местность;-23274.0;-22883.0;-19016.0;-16605.0;-17099.0;-15910.0;-14744.0
Архангельская область;110;Женщины;Сельская местность;-27731.0;-28798.0;-25158.0;-20715.0;-22204.0;-20827.0;-20687.0
Ненецкий автономный округ (Архангельская область);111;Женщины;Сельская местность;-1352.0;-1505.0;-1289.0;-1084.0;-1127.0;-1090.0;-885.0
Архангельская область (кроме Ненецкого автономного округа);110;Женщины;Сельская местность;-26379.0;-27293.0;-23869.0;-19631.0;-21077.0;-19737.0;-19802.0
Вологодская область;190;Женщины;Сельская местность;-20706.0;-20241.0;-16196.0;-12964.0;-13528.0;-11564.0;-11155.0
Калининградская область;270;Женщины;Сельская местность;-16266.0;-17952.0;-18494.0;-16412.0;-17123.0;-16473.0;-16356.0
Ленинградская область;410;Женщины;Сельская местность;-24194.0;-18677.0;-24415.0;-30319.0;-29035.0;-29287.0;-28101.0
Мурманская область;470;Женщины;Сельская местность;-19997.0;-19951.0;-18999.0;-15820.0;-15186.0;-14453.0;-13105.0
Новгородская область;490;Женщины;Сельская местность;-13635.0;-13595.0;-12516.0;-11890.0;-11924.0;-10468.0;-9363.0
Псковская область;580;Женщины;Сельская местность;-13866.0;-14476.0;-13763.0;-12204.0;-12356.0;-10891.0;-10358.0
Южный федеральный округ (с 29.07.2016);40;Женщины;Сельская местность;-219944.0;-224030.0;-210974.0;-187720.0;-198387.0;-196189.0;-186385.0
Республика Адыгея (Адыгея);790;Женщины;Сельская местность;-7244.0;-6543.0;-5484.0;-5344.0;-5625.0;-5299.0;-5613.0
Республика Калмыкия;850;Женщины;Сельская местность;-9179.0;-9537.0;-8715.0;-6808.0;-7372.0;-7731.0;-6139.0
Республика Крым;350;Женщины;Сельская местность;-16662.0;-17557.0;-17569.0;-19189.0;-19208.0;-20626.0;-17647.0
Краснодарский край;300;Женщины;Сельская местность;-75179.0;-74054.0;-71531.0;-62535.0;-69221.0;-65848.0;-62817.0
Астраханская область;120;Женщины;Сельская местность;-13521.0;-13692.0;-12641.0;-10552.0;-11233.0;-11288.0;-10231.0
